Producing: JOB ID = 0, Burst Time = 29, Remaining Time = 29 (jobs produced = 1, jobs in buffer = 1)
Producing: JOB ID = 1, Burst Time = 73, Remaining Time = 73 (jobs produced = 2, jobs in buffer = 2)
Producing: JOB ID = 2, Burst Time = 24, Remaining Time = 24 (jobs produced = 3, jobs in buffer = 3)
Producing: JOB ID = 3, Burst Time = 56, Remaining Time = 56 (jobs produced = 4, jobs in buffer = 4)
Producing: JOB ID = 4, Burst Time = 70, Remaining Time = 70 (jobs produced = 5, jobs in buffer = 5)
Producing: JOB ID = 5, Burst Time = 42, Remaining Time = 42 (jobs produced = 6, jobs in buffer = 6)
Producing: JOB ID = 6, Burst Time = 6, Remaining Time = 6 (jobs produced = 7, jobs in buffer = 7)
Producing: JOB ID = 7, Burst Time = 96, Remaining Time = 96 (jobs produced = 8, jobs in buffer = 8)
Producing: JOB ID = 8, Burst Time = 43, Remaining Time = 43 (jobs produced = 9, jobs in buffer = 9)
Producing: JOB ID = 9, Burst Time = 80, Remaining Time = 80 (jobs produced = 10, jobs in buffer = 10)
Producing: JOB ID = 10, Burst Time = 99, Remaining Time = 99 (jobs produced = 11, jobs in buffer = 11)
Thread 1 removes: JOB ID = 0, Burst Time = 29, Start Time = 0 (jobs removed = 1, jobs in buffer = 10)
Producing: JOB ID = 11, Burst Time = 61, Remaining Time = 61 (jobs produced = 12, jobs in buffer = 11)
Producing: JOB ID = 12, Burst Time = 27, Remaining Time = 27 (jobs produced = 13, jobs in buffer = 12)
Producing: JOB ID = 13, Burst Time = 45, Remaining Time = 45 (jobs produced = 14, jobs in buffer = 13)
Producing: JOB ID = 14, Burst Time = 92, Remaining Time = 92 (jobs produced = 15, jobs in buffer = 14)
Producing: JOB ID = 15, Burst Time = 33, Remaining Time = 33 (jobs produced = 16, jobs in buffer = 15)
Producing: JOB ID = 16, Burst Time = 55, Remaining Time = 55 (jobs produced = 17, jobs in buffer = 16)
Producing: JOB ID = 17, Burst Time = 96, Remaining Time = 96 (jobs produced = 18, jobs in buffer = 17)
Producing: JOB ID = 18, Burst Time = 74, Remaining Time = 74 (jobs produced = 19, jobs in buffer = 18)
Producing: JOB ID = 19, Burst Time = 14, Remaining Time = 14 (jobs produced = 20, jobs in buffer = 19)
Producing: JOB ID = 20, Burst Time = 52, Remaining Time = 52 (jobs produced = 21, jobs in buffer = 20)
Producing: JOB ID = 21, Burst Time = 82, Remaining Time = 82 (jobs produced = 22, jobs in buffer = 21)
Producing: JOB ID = 22, Burst Time = 78, Remaining Time = 78 (jobs produced = 23, jobs in buffer = 22)
Producing: JOB ID = 23, Burst Time = 60, Remaining Time = 60 (jobs produced = 24, jobs in buffer = 23)
Producing: JOB ID = 24, Burst Time = 30, Remaining Time = 30 (jobs produced = 25, jobs in buffer = 24)
Producing: JOB ID = 25, Burst Time = 75, Remaining Time = 75 (jobs produced = 26, jobs in buffer = 25)
Producing: JOB ID = 26, Burst Time = 47, Remaining Time = 47 (jobs produced = 27, jobs in buffer = 26)
Thread 4 removes: JOB ID = 1, Burst Time = 73, Start Time = 0 (jobs removed = 2, jobs in buffer = 25)
Producing: JOB ID = 27, Burst Time = 63, Remaining Time = 63 (jobs produced = 28, jobs in buffer = 26)
Producing: JOB ID = 28, Burst Time = 51, Remaining Time = 51 (jobs produced = 29, jobs in buffer = 27)
Producing: JOB ID = 29, Burst Time = 50, Remaining Time = 50 (jobs produced = 30, jobs in buffer = 28)
Producing: JOB ID = 30, Burst Time = 16, Remaining Time = 16 (jobs produced = 31, jobs in buffer = 29)
