Producing: JOB ID = 0, Burst Time = 29, Remaining Time = 29, Priority = 6 (jobs produced = 1, jobs in buffer = 1)
Producing: JOB ID = 1, Burst Time = 73, Remaining Time = 73, Priority = 5 (jobs produced = 2, jobs in buffer = 2)
Producing: JOB ID = 2, Burst Time = 24, Remaining Time = 24, Priority = 5 (jobs produced = 3, jobs in buffer = 3)
Producing: JOB ID = 3, Burst Time = 56, Remaining Time = 56, Priority = 2 (jobs produced = 4, jobs in buffer = 4)
Producing: JOB ID = 4, Burst Time = 70, Remaining Time = 70, Priority = 1 (jobs produced = 5, jobs in buffer = 5)
Producing: JOB ID = 5, Burst Time = 42, Remaining Time = 42, Priority = 7 (jobs produced = 6, jobs in buffer = 6)
Producing: JOB ID = 6, Burst Time = 6, Remaining Time = 6, Priority = 9 (jobs produced = 7, jobs in buffer = 7)
Producing: JOB ID = 7, Burst Time = 96, Remaining Time = 96, Priority = 6 (jobs produced = 8, jobs in buffer = 8)
Producing: JOB ID = 8, Burst Time = 43, Remaining Time = 43, Priority = 6 (jobs produced = 9, jobs in buffer = 9)
Producing: JOB ID = 9, Burst Time = 80, Remaining Time = 80, Priority = 6 (jobs produced = 10, jobs in buffer = 10)
Producing: JOB ID = 10, Burst Time = 99, Remaining Time = 99, Priority = 8 (jobs produced = 11, jobs in buffer = 11)
Producing: JOB ID = 11, Burst Time = 61, Remaining Time = 61, Priority = 9 (jobs produced = 12, jobs in buffer = 12)
Thread 1 consuming: JOB ID = 4, Start Time = 0, Remaining time = 0, Priority = 1 (jobs removed = 1, jobs in buffer = 11)
Thread 2 consuming: JOB ID = 3, Start Time = 0, Remaining time = 0, Priority = 2 (jobs removed = 2, jobs in buffer = 10)
Thread 3 consuming: JOB ID = 1, Start Time = 0, Remaining time = 48, Priority = 5 (jobs removed = 2, jobs in buffer = 10)
Producing: JOB ID = 12, Burst Time = 27, Remaining Time = 27, Priority = 0 (jobs produced = 13, jobs in buffer = 11)
Producing: JOB ID = 13, Burst Time = 45, Remaining Time = 45, Priority = 3 (jobs produced = 14, jobs in buffer = 12)
Producing: JOB ID = 14, Burst Time = 92, Remaining Time = 92, Priority = 5 (jobs produced = 15, jobs in buffer = 13)
Producing: JOB ID = 15, Burst Time = 33, Remaining Time = 33, Priority = 2 (jobs produced = 16, jobs in buffer = 14)
Producing: JOB ID = 16, Burst Time = 55, Remaining Time = 55, Priority = 8 (jobs produced = 17, jobs in buffer = 15)
Producing: JOB ID = 17, Burst Time = 96, Remaining Time = 96, Priority = 7 (jobs produced = 18, jobs in buffer = 16)
Producing: JOB ID = 18, Burst Time = 74, Remaining Time = 74, Priority = 6 (jobs produced = 19, jobs in buffer = 17)
Producing: JOB ID = 19, Burst Time = 14, Remaining Time = 14, Priority = 2 (jobs produced = 20, jobs in buffer = 18)
Producing: JOB ID = 20, Burst Time = 52, Remaining Time = 52, Priority = 3 (jobs produced = 21, jobs in buffer = 19)
Producing: JOB ID = 21, Burst Time = 82, Remaining Time = 82, Priority = 9 (jobs produced = 22, jobs in buffer = 20)
Producing: JOB ID = 22, Burst Time = 78, Remaining Time = 78, Priority = 7 (jobs produced = 23, jobs in buffer = 21)
Producing: JOB ID = 23, Burst Time = 60, Remaining Time = 60, Priority = 4 (jobs produced = 24, jobs in buffer = 22)
Producing: JOB ID = 24, Burst Time = 30, Remaining Time = 30, Priority = 0 (jobs produced = 25, jobs in buffer = 23)
Producing: JOB ID = 25, Burst Time = 75, Remaining Time = 75, Priority = 6 (jobs produced = 26, jobs in buffer = 24)
Producing: JOB ID = 26, Burst Time = 47, Remaining Time = 47, Priority = 0 (jobs produced = 27, jobs in buffer = 25)
Producing: JOB ID = 27, Burst Time = 63, Remaining Time = 63, Priority = 3 (jobs produced = 28, jobs in buffer = 26)
Producing: JOB ID = 28, Burst Time = 51, Remaining Time = 51, Priority = 0 (jobs produced = 29, jobs in buffer = 27)
Producing: JOB ID = 29, Burst Time = 50, Remaining Time = 50, Priority = 1 (jobs produced = 30, jobs in buffer = 28)
Producing: JOB ID = 30, Burst Time = 16, Remaining Time = 16, Priority = 5 (jobs produced = 31, jobs in buffer = 29)
Producing: JOB ID = 31, Burst Time = 60, Remaining Time = 60, Priority = 7 (jobs produced = 32, jobs in buffer = 30)
Producing: JOB ID = 32, Burst Time = 84, Remaining Time = 84, Priority = 5 (jobs produced = 33, jobs in buffer = 31)
Producing: JOB ID = 33, Burst Time = 44, Remaining Time = 44, Priority = 9 (jobs produced = 34, jobs in buffer = 32)
Producing: JOB ID = 34, Burst Time = 5, Remaining Time = 5, Priority = 7 (jobs produced = 35, jobs in buffer = 33)
Producing: JOB ID = 35, Burst Time = 1, Remaining Time = 1, Priority = 5 (jobs produced = 36, jobs in buffer = 34)
Producing: JOB ID = 36, Burst Time = 10, Remaining Time = 10, Priority = 5 (jobs produced = 37, jobs in buffer = 35)
Producing: JOB ID = 37, Burst Time = 12, Remaining Time = 12, Priority = 7 (jobs produced = 38, jobs in buffer = 36)
Producing: JOB ID = 38, Burst Time = 57, Remaining Time = 57, Priority = 4 (jobs produced = 39, jobs in buffer = 37)
Producing: JOB ID = 39, Burst Time = 7, Remaining Time = 7, Priority = 0 (jobs produced = 40, jobs in buffer = 38)
Producing: JOB ID = 40, Burst Time = 8, Remaining Time = 8, Priority = 8 (jobs produced = 41, jobs in buffer = 39)
Producing: JOB ID = 41, Burst Time = 16, Remaining Time = 16, Priority = 8 (jobs produced = 42, jobs in buffer = 40)
Producing: JOB ID = 42, Burst Time = 15, Remaining Time = 15, Priority = 4 (jobs produced = 43, jobs in buffer = 41)
Producing: JOB ID = 43, Burst Time = 25, Remaining Time = 25, Priority = 1 (jobs produced = 44, jobs in buffer = 42)
Producing: JOB ID = 44, Burst Time = 81, Remaining Time = 81, Priority = 9 (jobs produced = 45, jobs in buffer = 43)
Producing: JOB ID = 45, Burst Time = 7, Remaining Time = 7, Priority = 0 (jobs produced = 46, jobs in buffer = 44)
Producing: JOB ID = 46, Burst Time = 54, Remaining Time = 54, Priority = 8 (jobs produced = 47, jobs in buffer = 45)
Producing: JOB ID = 47, Burst Time = 65, Remaining Time = 65, Priority = 2 (jobs produced = 48, jobs in buffer = 46)
Producing: JOB ID = 48, Burst Time = 17, Remaining Time = 17, Priority = 6 (jobs produced = 49, jobs in buffer = 47)
Producing: JOB ID = 49, Burst Time = 94, Remaining Time = 94, Priority = 9 (jobs produced = 50, jobs in buffer = 48)
Producing: JOB ID = 50, Burst Time = 64, Remaining Time = 64, Priority = 0 (jobs produced = 51, jobs in buffer = 49)
Producing: JOB ID = 51, Burst Time = 75, Remaining Time = 75, Priority = 8 (jobs produced = 52, jobs in buffer = 50)
Producing: JOB ID = 52, Burst Time = 72, Remaining Time = 72, Priority = 1 (jobs produced = 53, jobs in buffer = 51)
Producing: JOB ID = 53, Burst Time = 60, Remaining Time = 60, Priority = 2 (jobs produced = 54, jobs in buffer = 52)
Producing: JOB ID = 54, Burst Time = 52, Remaining Time = 52, Priority = 2 (jobs produced = 55, jobs in buffer = 53)
Producing: JOB ID = 55, Burst Time = 17, Remaining Time = 17, Priority = 6 (jobs produced = 56, jobs in buffer = 54)
Producing: JOB ID = 56, Burst Time = 44, Remaining Time = 44, Priority = 0 (jobs produced = 57, jobs in buffer = 55)
Producing: JOB ID = 57, Burst Time = 9, Remaining Time = 9, Priority = 1 (jobs produced = 58, jobs in buffer = 56)
Producing: JOB ID = 58, Burst Time = 7, Remaining Time = 7, Priority = 9 (jobs produced = 59, jobs in buffer = 57)
Producing: JOB ID = 59, Burst Time = 20, Remaining Time = 20, Priority = 9 (jobs produced = 60, jobs in buffer = 58)
Producing: JOB ID = 60, Burst Time = 5, Remaining Time = 5, Priority = 9 (jobs produced = 61, jobs in buffer = 59)
Producing: JOB ID = 61, Burst Time = 82, Remaining Time = 82, Priority = 7 (jobs produced = 62, jobs in buffer = 60)
Producing: JOB ID = 62, Burst Time = 88, Remaining Time = 88, Priority = 1 (jobs produced = 63, jobs in buffer = 61)
Producing: JOB ID = 63, Burst Time = 94, Remaining Time = 94, Priority = 5 (jobs produced = 64, jobs in buffer = 62)
Producing: JOB ID = 64, Burst Time = 55, Remaining Time = 55, Priority = 7 (jobs produced = 65, jobs in buffer = 63)
Producing: JOB ID = 65, Burst Time = 22, Remaining Time = 22, Priority = 6 (jobs produced = 66, jobs in buffer = 64)
Producing: JOB ID = 66, Burst Time = 78, Remaining Time = 78, Priority = 3 (jobs produced = 67, jobs in buffer = 65)
Producing: JOB ID = 67, Burst Time = 88, Remaining Time = 88, Priority = 5 (jobs produced = 68, jobs in buffer = 66)
Producing: JOB ID = 68, Burst Time = 77, Remaining Time = 77, Priority = 3 (jobs produced = 69, jobs in buffer = 67)
Producing: JOB ID = 69, Burst Time = 78, Remaining Time = 78, Priority = 4 (jobs produced = 70, jobs in buffer = 68)
Producing: JOB ID = 70, Burst Time = 11, Remaining Time = 11, Priority = 1 (jobs produced = 71, jobs in buffer = 69)
Producing: JOB ID = 71, Burst Time = 84, Remaining Time = 84, Priority = 9 (jobs produced = 72, jobs in buffer = 70)
Producing: JOB ID = 72, Burst Time = 22, Remaining Time = 22, Priority = 9 (jobs produced = 73, jobs in buffer = 71)
Producing: JOB ID = 73, Burst Time = 10, Remaining Time = 10, Priority = 8 (jobs produced = 74, jobs in buffer = 72)
Producing: JOB ID = 74, Burst Time = 26, Remaining Time = 26, Priority = 5 (jobs produced = 75, jobs in buffer = 73)
Producing: JOB ID = 75, Burst Time = 14, Remaining Time = 14, Priority = 9 (jobs produced = 76, jobs in buffer = 74)
Producing: JOB ID = 76, Burst Time = 52, Remaining Time = 52, Priority = 3 (jobs produced = 77, jobs in buffer = 75)
Producing: JOB ID = 77, Burst Time = 87, Remaining Time = 87, Priority = 5 (jobs produced = 78, jobs in buffer = 76)
Producing: JOB ID = 78, Burst Time = 39, Remaining Time = 39, Priority = 1 (jobs produced = 79, jobs in buffer = 77)
Producing: JOB ID = 79, Burst Time = 41, Remaining Time = 41, Priority = 5 (jobs produced = 80, jobs in buffer = 78)
Producing: JOB ID = 80, Burst Time = 66, Remaining Time = 66, Priority = 8 (jobs produced = 81, jobs in buffer = 79)
Producing: JOB ID = 81, Burst Time = 9, Remaining Time = 9, Priority = 8 (jobs produced = 82, jobs in buffer = 80)
Producing: JOB ID = 82, Burst Time = 56, Remaining Time = 56, Priority = 0 (jobs produced = 83, jobs in buffer = 81)
Producing: JOB ID = 83, Burst Time = 92, Remaining Time = 92, Priority = 0 (jobs produced = 84, jobs in buffer = 82)
Producing: JOB ID = 84, Burst Time = 45, Remaining Time = 45, Priority = 4 (jobs produced = 85, jobs in buffer = 83)
Producing: JOB ID = 85, Burst Time = 61, Remaining Time = 61, Priority = 4 (jobs produced = 86, jobs in buffer = 84)
Producing: JOB ID = 86, Burst Time = 60, Remaining Time = 60, Priority = 6 (jobs produced = 87, jobs in buffer = 85)
Producing: JOB ID = 87, Burst Time = 7, Remaining Time = 7, Priority = 1 (jobs produced = 88, jobs in buffer = 86)
Producing: JOB ID = 88, Burst Time = 36, Remaining Time = 36, Priority = 5 (jobs produced = 89, jobs in buffer = 87)
Producing: JOB ID = 89, Burst Time = 10, Remaining Time = 10, Priority = 6 (jobs produced = 90, jobs in buffer = 88)
Producing: JOB ID = 90, Burst Time = 41, Remaining Time = 41, Priority = 1 (jobs produced = 91, jobs in buffer = 89)
Producing: JOB ID = 91, Burst Time = 90, Remaining Time = 90, Priority = 8 (jobs produced = 92, jobs in buffer = 90)
Producing: JOB ID = 92, Burst Time = 15, Remaining Time = 15, Priority = 7 (jobs produced = 93, jobs in buffer = 91)
Producing: JOB ID = 93, Burst Time = 31, Remaining Time = 31, Priority = 1 (jobs produced = 94, jobs in buffer = 92)
Producing: JOB ID = 94, Burst Time = 54, Remaining Time = 54, Priority = 5 (jobs produced = 95, jobs in buffer = 93)
Producing: JOB ID = 95, Burst Time = 45, Remaining Time = 45, Priority = 7 (jobs produced = 96, jobs in buffer = 94)
Producing: JOB ID = 96, Burst Time = 31, Remaining Time = 31, Priority = 3 (jobs produced = 97, jobs in buffer = 95)
Producing: JOB ID = 97, Burst Time = 60, Remaining Time = 60, Priority = 8 (jobs produced = 98, jobs in buffer = 96)
Producing: JOB ID = 98, Burst Time = 49, Remaining Time = 49, Priority = 1 (jobs produced = 99, jobs in buffer = 97)
Producing: JOB ID = 99, Burst Time = 16, Remaining Time = 16, Priority = 9 (jobs produced = 100, jobs in buffer = 98)
Producing: JOB ID = 100, Burst Time = 21, Remaining Time = 21, Priority = 4 (jobs produced = 101, jobs in buffer = 99)
Producing: JOB ID = 101, Burst Time = 44, Remaining Time = 44, Priority = 3 (jobs produced = 102, jobs in buffer = 100)
